month;constrrf;durblrf;foodrf;hml;jan;rf;rmrf;smb
196205;-8,6;-8,97;-11,08;2,3;0;0,24;-8,71;-3
196206;-11,01;-11,3;-8,55;2,88;0;0,2;-8,46;-0,74
196207;4,24;1,06;6,56;-3,64;0;0,27;6,28;1,58
196208;1,99;1,92;0,19;-1,19;0;0,23;2,11;1,29
196209;-6,84;-8,02;-5,01;1,46;0;0,21;-5,23;-2,56
196210;-2,56;-2,85;-2,95;1,23;0;0,26;-0,04;-3,99
196211;12,74;15,93;11,98;0,99;0;0,2;10,81;2,66
196212;-2,61;2,29;2,57;0,31;0;0,23;0,96;-3,8
196301;4,77;7,43;6,17;2,29;1;0,25;4,93;3,11
196302;-0,65;-5,34;-3,15;2,26;0;0,23;-2,42;0,38
196303;3,44;2,25;1,73;2,14;0;0,23;3,06;-2,55
196304;2,68;5,37;0,83;1,1;0;0,25;4,49;-1,33
196305;0,48;3,08;3,04;2,77;0;0,24;1,77;1,09
196306;-1,33;-0,1;-0,79;0,79;0;0,23;-2,03;-0,26
196307;-0,58;-0,5;-0,43;-0,96;0;0,27;-0,44;-0,5
196308;5,65;5,07;4,33;1,79;0;0,25;5,02;-1,04
196309;-2,2;-1,72;-1,47;0,18;0;0,27;-1,46;-0,33
196310;-1,4;5,81;1,78;-0,03;0;0,29;2,48;-0,55
196311;-1,67;-0,41;-0,75;1,65;0;0,27;-0,82;-1,11
196312;-0,29;4,26;2,52;0,01;0;0,29;1,88;-1,99
196401;2,25;-0,12;0,82;1,54;1;0,3;2,28;-0,17
196402;4,27;1,1;1,05;2,84;0;0,26;1,46;0,08
196403;4,65;2,44;2,07;3,43;0;0,31;1,45;0,95
196404;-1,36;-2,35;-1,39;-0,52;0;0,29;0,17;-1,37
196405;0,17;1,91;1,39;1,91;0;0,26;1,48;-0,89
196406;0,7;-0,68;1,9;0,74;0;0,3;1,21;-0,3
196407;0,58;0,12;1,3;0,79;0;0,3;1,71;0,18
196408;-1,66;-2,04;-1,61;0,13;0;0,28;-1,41;0,11
196409;0,58;7,25;1,67;1,75;0;0,28;2,77;-0,58
196410;1,27;-1,37;-1,26;1,07;0;0,29;0,6;0,47
196411;-1,07;1,39;0,78;-1,9;0;0,29;0,02;0,65
196412;-1,74;0,12;0,79;-2,55;0;0,31;0,06;-0,32
196501;5,1;8,01;5,16;0,13;1;0,28;3,58;2,68
196502;3,57;3,08;1,07;0,27;0;0,3;0,39;3,43
196503;-0,43;-1,36;-1,69;1,03;0;0,36;-1,33;1,82
196504;1,47;6,82;2,73;0,72;0;0,31;3,06;1,13
196505;-1,52;0,05;-1,17;-1,62;0;0,31;-0,75;0,07
196506;-7,35;-5,86;-4,7;0,58;0;0,35;-5,54;-4,35
196507;0,54;5,49;0,73;2,24;0;0,31;1,37;0,84
196508;2,22;7,84;1,65;-1,04;0;0,33;2,76;2,86
196509;1,49;7,64;-0,1;-0,08;0;0,31;2,89;0,6
196510;2,93;5,05;0,8;1,59;0;0,31;2,62;2,45
196511;0,68;1,48;-0,05;0,31;0;0,35;-0,04;4,66
196512;1,41;4,87;0,84;1,98;0;0,33;1,02;2,09
196601;4,07;2,61;-0,05;3,52;1;0,38;0,83;3,85
196602;-1,42;0,27;-1,39;0,43;0;0,35;-1,21;4,44
196603;-3,52;2,63;-2,9;-2,05;0;0,38;-2,47;0,98
196604;-0,73;6,31;-0,87;-0,44;0;0,34;2,14;3,42
196605;-6,46;-8,49;-4,36;-1,62;0;0,41;-5,66;-4,65
196606;-2,28;-0,29;-2,83;0,59;0;0,38;-1,41;1,05
196607;-1,68;-3,85;-1,1;0,85;0;0,35;-1,64;-0,37
196608;-10,34;-9,91;-6,57;0,54;0;0,41;-7,95;-3,32
196609;-2,47;-5,46;-1,66;0,44;0;0,4;-1,1;-1,08
196610;0,89;2,06;7,38;2,83;0;0,45;3,78;-6,59
196611;3,3;6,49;2,39;-4,68;0;0,4;1,35;4,45
196612;2,53;-2,05;-0,6;-1,41;0;0,4;0,22;1,96
196701;15,01;7,51;6,26;2,03;1;0,43;8,12;8,42
196702;1,17;3,7;1,46;-2,2;0;0,36;0,73;3,34
196703;8,18;2;3,61;0,34;0;0,39;3,95;1,61
196704;2,86;5,3;4,03;-2,55;0;0,32;3,84;0,57
196705;-4,54;-7,11;-2,28;0,93;0;0,33;-4,26;1,92
196706;4,1;2,06;3,69;0,92;0;0,27;2,42;5,98
196707;6,63;5,78;5,21;2,62;0;0,32;4,6;3,13
196708;2,44;-0,48;-1,76;1,48;0;0,31;-0,94;0,45
196709;3,34;3,85;1,91;-2,45;0;0,32;3,11;3,07
196710;-5,66;-0,81;-3,74;-3,43;0;0,39;-3,13;1,48
196711;-2,06;1,79;0,24;-1,69;0;0,36;0,43;0,17
196712;6,25;0,71;2,16;-0,31;0;0,33;3,04;5,65
196801;-0,71;-9,8;-1,41;4,69;1;0,4;-4,03;3,96
196802;-4,29;-3,75;-2,63;1,19;0;0,39;-3,75;-2,94
196803;-0,42;2,87;0,18;-0,56;0;0,38;0,13;-1,3
196804;14,49;11,67;9,63;-0,99;0;0,43;8,98;5,64
196805;5,29;3,09;4,68;0,92;0;0,45;2,25;6,39
196806;-1,91;-3,45;0,76;0,68;0;0,43;0,72;-0,17
196807;-0,25;-5,79;-4,24;5,48;0;0,48;-2,68;-1,38
196808;7,26;2,33;2,31;0,99;0;0,42;1,38;2,33
196809;4,55;2,77;3,59;0,34;0;0,43;4,02;2,74
196810;-1,75;0,42;-0,07;2,89;0;0,44;0,46;-0,47
196811;5,7;6,02;5,08;-0,81;0;0,42;5,43;2,31
196812;-2,06;-6,33;-1,93;-0,03;0;0,43;-3,82;3,44
196901;-1,91;-0,93;-1,21;1,73;1;0,53;-1,2;-0,8
196902;-6,45;-5,98;-6,02;0,86;0;0,46;-5,82;-3,86
196903;3,52;1,89;0,66;-0,42;0;0,46;2,59;-0,3
196904;1,21;4,02;1,5;0,06;0;0,53;1,52;-0,85
196905;-0,37;-1,36;1,32;0,64;0;0,48;0,02;-0,21
196906;-12,31;-3,08;-6,82;-1,13;0;0,51;-7,25;-5,33
196907;-7,78;-4,86;-6,11;1,34;0;0,53;-7,05;-3,24
196908;7,84;3,69;4,47;-3,81;0;0,5;4,65;0,89
196909;-4,88;-0,83;0,22;-3,2;0;0,62;-2,88;1,18
196910;7,29;5,25;7,53;-3,15;0;0,6;4,96;3,75
196911;-4,37;-3,71;-2,57;-1,15;0;0,52;-3,74;-2,57
196912;-4,98;-0,77;-1,15;-3;0;0,64;-2,61;-3,64
197001;-10,1;-8,23;-3,2;3,04;1;0,6;-7,93;2,93
197002;7,73;-0,9;4,97;3,94;0;0,62;5,05;-2,45
197003;-2,05;-1,06;-1,46;4,19;0;0,57;-1,04;-2,4
197004;-11,45;-9,39;-10,52;6,32;0;0,5;-11,03;-6,13
197005;-9,62;-10,36;-7,64;3,51;0;0,53;-6,96;-4,51
197006;-7,13;-6,12;-1,49;0,81;0;0,58;-5,69;-2,15
197007;9,67;5,4;5,15;0,97;0;0,52;6,9;-0,56
197008;3,47;5,37;-1,05;1,07;0;0,53;4,47;1,47
197009;7,01;5,79;4,39;-5,49;0;0,54;4,21;8,57
197010;-4,77;-2,09;0,37;0,23;0;0,46;-2,28;-4,16
197011;0,49;4,49;4,53;1,71;0;0,46;4,58;-4,07
197012;8,72;5,49;5,67;1,05;0;0,42;5,65;2,89
197101;6,2;5,85;2,66;1,38;1;0,38;4,82;7,43
197102;0,4;2;1,87;-1,32;0;0,33;1,36;1,85
197103;0,36;6,5;3,61;-3,95;0;0,3;4,18;2,63
197104;3,74;4,84;1,37;0,86;0;0,28;3,05;-0,48
197105;-5,21;-1,06;-1,86;-1,34;0;0,29;-3,93;-1,09
197106;-3,25;1,78;0,67;-2,07;0;0,37;-0,06;-1,37
197107;-4,22;-7,21;-1,48;0,09;0;0,4;-4,43;-1,46
197108;5,93;7,8;1,58;2,72;0;0,47;3,78;-0,21
197109;1,52;0,79;0,05;-2,95;0;0,37;-0,87;0,44
197110;-6,59;-5,04;-3,14;-0,45;0;0,37;-4,44;-1,75
197111;-4,48;1,73;0,12;-1,73;0;0,37;-0,5;-2,84
197112;8,1;8,56;9,18;-0,24;0;0,37;8,76;3,37
197201;1,34;3,44;0,4;2,08;1;0,29;2,55;6,12
197202;3,12;5,83;3,87;-2,81;0;0,25;2,88;1,35
197203;0,46;4,04;-0,49;-1,68;0;0,27;0,6;-0,28
197204;1,75;1,78;1,91;0,22;0;0,29;0,26;-0,01
197205;-3,53;3,44;0,46;-2,63;0;0,3;1,34;-2,77
197206;-3,59;-1,01;-0,93;-2,5;0;0,29;-2,38;0,38
197207;-3,19;-0,69;0,37;0,82;0;0,31;-0,74;-2,89
197208;0,58;-2,06;1,21;4,58;0;0,29;3,31;-4,02
197209;-3,41;1,31;-1,5;0,44;0;0,34;-1,11;-2,65
197210;-0,97;0,04;0,75;1,25;0;0,4;0,47;-2,66
197211;7,54;0,25;5,27;4,87;0;0,37;4,61;-1,12
197212;-2,37;3,61;1,39;-2,34;0;0,37;0,75;-1,84
197301;-8;-6,37;-3,65;2,71;1;0,44;-3,19;-3,45
197302;-8,49;-1,77;-3,59;1,76;0;0,41;-4,85;-3,97
197303;-2,59;-2,1;-1,47;2,69;0;0,46;-1,25;-2,87
197304;-5,46;-7,43;-4,67;5,57;0;0,52;-5,7;-3,99
197305;-5,47;-0,28;-1,44;0,18;0;0,51;-2,96;-6,03
197306;-3,18;0,52;-3,62;1,36;0;0,51;-1,37;-2,95
197307;13,35;4,28;5,23;-5,23;0;0,64;5,06;7,89
197308;-2,88;-4,17;-2,7;1,23;0;0,7;-3,66;-2,1
197309;8,8;-0,58;5,31;2,07;0;0,68;4,71;2,95
197310;-1,13;-1,26;-2,42;1,79;0;0,65;-0,69;-0,2
197311;-19,76;-13,7;-13,15;3,95;0;0,56;-12,63;-7,71
197312;0,19;-1,79;-1,43;4,21;0;0,64;0,5;-5,35
197401;5,61;-2,41;0,92;5,79;1;0,63;-0,19;9,83
197402;3,25;-3,87;-0,46;2,53;0;0,58;-0,34;-0,05
197403;-1,22;-1,03;-2,95;-0,07;0;0,56;-2,9;2,41
197404;-5,19;-6,27;-4,14;0,96;0;0,75;-5,35;-0,8
197405;-7,5;-0,57;-4,69;-1,97;0;0,75;-4,95;-2,98
197406;-5,28;-2,42;-1,05;0,85;0;0,6;-2,89;-0,17
197407;-6,17;-14,46;-12,89;5,26;0;0,7;-7,79;0,79
197408;-10,06;-11,17;-12,77;2,53;0;0,6;-9,38;-0,67
197409;-11,48;-19,05;-14,27;5,54;0;0,81;-11,78;0,3
197410;14,06;12,71;18,37;-9,78;0;0,51;16,05;-3,43
197411;-6,07;-7,79;-4,04;-0,21;0;0,54;-4,64;-1,15
197412;-6,1;-8,26;-1,09;0,18;0;0,7;-3,4;-4,9
197501;25,52;19,68;19,52;8,17;1;0,58;13,58;10,95
197502;2,92;12,71;5,01;-4,53;0;0,43;5,41;0,18
197503;8,04;4,46;5,15;2,52;0;0,41;2,61;3,72
197504;2,91;8,04;0,56;-1,21;0;0,44;4,21;-0,52
197505;4,91;0,31;6,04;-4,25;0;0,44;5,07;3,92
197506;5,15;3,41;4,46;1,32;0;0,41;4,74;0,75
197507;-6,21;-8,3;-5,8;1,67;0;0,48;-6,52;2,66
197508;-1,87;-4,03;-2,86;-0,84;0;0,48;-2,84;-3,22
197509;-7,07;-4,69;-3,71;0,45;0;0,53;-4,33;-0,08
197510;3,59;8,22;11,21;0,37;0;0,56;5,03;-4,02
197511;2,84;2,81;2,81;2,06;0;0,41;2,71;-1,2
197512;0,24;-2,68;-2,45;1,75;0;0,48;-1,58;-0,77
197601;17,39;14,44;8,43;8,59;1;0,47;12,13;4,76
197602;5,71;-0,72;-3,37;5,83;0;0,34;0,39;7
197603;2,41;1,45;0,26;-0,12;0;0,4;2,28;-1,17
197604;-0,42;-5,33;-1,71;0,01;0;0,42;-1,46;-0,04
197605;-4,35;-3,53;-1,33;-1,31;0;0,37;-1,31;-1,23
197606;3,39;4,8;5,03;0,79;0;0,43;4,02;-1,34
197607;-2,52;-3,65;1,3;1,74;0;0,47;-1,09;0,29
197608;-1,54;-1,59;-0,87;0,79;0;0,42;-0,56;-1,98
197609;2,44;-1,18;-0,28;-0,32;0;0,44;2,01;0,02
197610;-0,22;-3,28;-2,69;-0,12;0;0,41;-2,45;0,17
197611;3,16;-1,85;-0,03;1,48;0;0,4;0,14;2,35
197612;7,72;4,33;4,22;2,27;0;0,4;5,76;2,99
197701;-5,18;-8,33;-5,37;4,29;1;0,36;-3,99;4,82
197702;-2;-2,93;-0,99;0,46;0;0,35;-1,93;1,06
197703;-0,32;-4,25;-1,57;1,04;0;0,38;-1,3;1,02
197704;1,93;-1,41;-0,57;3,43;0;0,38;0,12;-0,1
197705;-3,3;-4,09;-1,25;0,9;0;0,37;-1,45;1,25
197706;3,88;4,64;3,67;-0,66;0;0,4;4,74;2,16
197707;-3,74;-2,65;1,45;-0,54;0;0,42;-1,7;2,13
197708;-2,37;0,89;-0,49;-2,76;0;0,44;-1,78;1,56
197709;-1,65;-1,37;0,22;-0,52;0;0,43;-0,27;1,46
197710;-2,62;-8,02;-4,96;1,77;0;0,49;-4,42;1,27
197711;7,2;1,22;3,11;0,31;0;0,5;4,04;3,71
197712;-0,09;-0,98;-0,71;-0,32;0;0,49;0,33;1,36
197801;-6,76;-7,63;-5,26;3,3;1;0,49;-6,01;2,2
197802;-0,41;-3,63;-0,36;0,89;0;0,46;-1,39;3,62
197803;4,98;3,67;2,21;1,27;0;0,53;2,87;3,38
197804;9,24;13,24;5,73;-3,48;0;0,54;7,74;0,39
197805;3,42;4,66;3,93;-0,63;0;0,51;1,81;4,63
197806;-2,08;-3,2;-0,05;0,55;0;0,54;-1,62;1,73
197807;7,51;8,1;2,05;-1,13;0;0,56;5,11;0,28
197808;8,8;2,71;2,81;-0,51;0;0,55;3,69;5,07
197809;-2,89;-3,58;-1,25;1,91;0;0,62;-1,31;-0,4
197810;-17,31;-11,51;-11,41;1,39;0;0,68;-11,78;-9,92
197811;0,66;2,5;0,99;-2,2;0;0,7;2,68;3,08
197812;0,25;-0,51;0,73;-2,18;0;0,78;0,99;1,27
197901;7,96;3,81;2,69;2,19;1;0,77;4,18;3,66
197902;-3,61;-5,26;-4,63;1,17;0;0,73;-3,41;0,46
197903;7,74;5,67;2,07;-0,67;0;0,81;5,75;3,17
197904;1,86;0,63;-0,86;1,11;0;0,8;0,05;2,19
197905;-2,64;-3,13;-2,56;1,59;0;0,82;-2,18;0,32
197906;3,61;1,3;2,62;1,43;0;0,81;3,88;1,17
197907;2,03;-0,1;0,17;1,78;0;0,77;0,73;1,32
197908;9,07;4,78;6,5;-1,59;0;0,77;5,7;2,03
197909;-0,87;-4,4;-2,53;-0,9;0;0,83;-0,69;-0,27
197910;-11,19;-8,25;-9,42;-1,85;0;0,87;-8,14;-3,31
197911;5,38;-0,14;4,31;-3,28;0;0,99;5,37;2,81
197912;3,51;3,13;1,53;-2,05;0;0,95;1,87;4,2
198001;8;3,91;3,06;1,79;1;0,8;5,76;1,67
198002;-3;-6,18;-6,16;0,55;0;0,89;-0,79;-1,82
198003;-16,06;-6,76;-10,17;-1,02;0;1,21;-13,23;-6,63
198004;2,78;0,93;5,9;1,09;0;1,26;3,97;0,99
198005;8,06;4,97;7,14;0,34;0;0,81;5,2;2,08
198006;4,38;2,08;1,72;-0,82;0;0,61;3,16;1,74
198007;12,26;9,25;5,32;-6,31;0;0,53;6,41;4,25
198008;0,79;1,57;-0,06;-2,65;0;0,64;1,72;3,9
198009;0,95;1,29;-0,88;-4,66;0;0,75;2,2;0,91
198010;2,13;1,21;-1,89;-2,71;0;0,95;1,06;2,53
198011;6,15;6,95;-0,89;-8,48;0;0,96;9,54;-3,37
198012;-5,23;-3,69;0,53;2,62;0;1,31;-4,75;-0,31
198101;-3,48;-2,65;1,63;6,84;1;1,04;-5,05;2,97
198102;2,87;7,13;1,22;1,02;0;1,07;0,48;-0,3
198103;6,49;3,18;5,68;0,71;0;1,21;3,41;3,54
198104;-2,77;-1,83;-1,14;2,28;0;1,08;-2,21;4,41
198105;-0,64;-0,66;1,29;-0,47;0;1,15;0,21;2,05
198106;-3,12;-4,37;-1,93;5,1;0;1,35;-2,37;-0,87
198107;-5,39;-4,08;-2,56;-0,48;0;1,24;-1,55;-2,22
198108;-6,48;-8,34;-6,21;4,77;0;1,28;-6,91;-1,93
198109;-11,34;-4,5;-3,12;5,21;0;1,24;-7,62;-2,64
198110;0,29;-0,07;7,39;-4,29;0;1,21;4,81;2,25
198111;5,22;5,01;0,96;1,82;0;1,07;3,51;-0,95
198112;-3,48;-1,64;-0,78;0,77;0;0,87;-3,68;1,19
198201;-8,03;2,97;-1,33;3,08;1;0,8;-3,42;-1,18
198202;-8,11;-4,72;-1,66;5,97;0;0,92;-6,03;0,51
198203;-3,68;1,38;2,43;3,89;0;0,98;-1,99;-0,22
198204;1,33;0,05;5,66;-2,77;0;1,13;3,2;1,5
198205;-6,52;-3,31;-3,46;1,8;0;1,06;-3,88;0,53
198206;-3,65;1,52;1,03;1,51;0;0,96;-3,35;-0,35
198207;-4,15;0,88;0,89;0,23;0;1,05;-3,1;0,89
198208;16,92;10,86;6,2;1,15;0;0,76;11,14;-4,15
198209;-1,06;-0,39;3,51;0,33;0;0,51;1,17;2,96
198210;17,83;12,21;6,81;-3,72;0;0,59;11,27;2,3
198211;11,08;8,59;4,66;-1,95;0;0,63;4,56;4,76
198212;2,32;-2,87;0,02;0,06;0;0,67;0,78;-0,16
198301;1,39;4,52;-0,81;-0,89;1;0,69;3,5;2,69
198302;3,74;6,2;1,09;0,71;0;0,62;2,4;3,24
198303;5,2;-3,06;5,35;2,09;0;0,63;2,84;1,79
198304;4,84;5,32;4,33;0,62;0;0,71;6,71;0,52
198305;2,16;-5,07;-1,61;-1,45;0;0,69;0,63;6,13
198306;-0,83;4,66;0,88;-3,87;0;0,67;3,11;0,96
198307;-4,68;-5,89;-3,06;5,62;0;0,74;-3,9;1,53
198308;-5,15;-1,85;1,05;5,48;0;0,76;-0,41;-4,32
198309;2,59;2,04;4,7;1,05;0;0,76;0,85;0,59
198310;-5,59;-2,85;1,45;4,97;0;0,76;-3,56;-3,62
198311;6,71;8,09;1,79;-0,71;0;0,7;2,26;2,01
198312;-1,91;0,49;-1,3;1,71;0;0,73;-1,78;-0,31
198401;-4,57;-7,24;-0,37;7,61;1;0,76;-2,06;-0,41
198402;-6,57;-6,37;-5,01;3,34;0;0,71;-4,62;-1,7
198403;3,59;1,31;0,46;0,53;0;0,73;0,61;0,11
198404;-3,57;-0,59;-0,32;1,25;0;0,81;-0,56;-1,15
198405;-9,74;-4,26;-2,67;0,25;0;0,78;-6,01;0,05
198406;0,65;0,95;5,75;-2,62;0;0,75;1,59;-0,24
198407;-3,84;-0,51;-1,81;0,3;0;0,82;-2,88;-2,3
198408;11,84;8,32;6,53;-1,78;0;0,83;10,44;-0,2
198409;-0,09;-3,79;1,59;5,34;0;0,86;-0,82;0,24
198410;-0,71;-0,35;1,2;0,52;0;1;-1,01;-1,18
198411;-0,8;-2,27;-1,05;4,02;0;0,73;-1,8;-0,64
198412;1,27;2,08;1,83;-0,12;0;0,64;1,73;-0,56
198501;11,97;9,24;1,31;-5,38;1;0,65;7,92;3,26
198502;-0,57;-0,23;4,76;-0,19;0;0,58;1,11;0,78
198503;-5,24;-4,92;5,52;4,02;0;0,62;-0,79;-1,11
198504;-1,67;-1,93;-2,05;3,71;0;0,72;-0,94;0,17
198505;5,34;4,18;10,05;-0,9;0;0,66;4,92;-2,3
198506;0,31;1,46;2,87;0,45;0;0,55;1,16;0,5
198507;2,32;1,94;-2,88;-1,64;0;0,62;-0,65;2,85
198508;-3,26;-3,51;1,87;2,18;0;0,55;-1,03;-0,38
198509;-5,06;-4,32;2,62;1,23;0;0,6;-4,58;-1,6
198510;2,34;-0,1;3,6;0,7;0;0,65;3,79;-1,59
198511;8,03;12,21;8,75;-2,87;0;0,61;6,31;0,22
198512;4,22;6,64;3,23;-1,53;0;0,65;3,66;-0,44
198601;1,87;-0,19;0,58;0,5;1;0,56;0,42;1,18
198602;11,67;11,05;8,37;-0,75;0;0,53;6,72;-0,57
198603;10,27;4,2;8,15;-0,45;0;0,6;4,79;-0,48
198604;-2,41;-1,94;0,01;-2,91;0;0,52;-1,31;2,82
198605;4,68;3,83;7,38;-0,11;0;0,49;4,59;-1,27
198606;-1;-1,12;5,6;1,4;0;0,52;0,9;-0,89
198607;-9,7;-9,2;-5,36;4,71;0;0,52;-6,49;-3,45
198608;7,06;5,6;1,35;3,5;0;0,46;6,16;-4,18
198609;-7,43;-9,2;-11,82;3,23;0;0,45;-8,35;2,31
198610;6,32;6,87;9,46;-1,48;0;0,46;4,47;-2,61
198611;2,21;6,86;-0,02;-0,13;0;0,39;1,12;-1,95
198612;-3,39;-0,25;-3,13;0,27;0;0,49;-3,13;0,06
198701;16,45;14,82;13,19;-3,16;1;0,42;12,43;-1,76
198702;3,42;4;3,98;-5,9;0;0,43;4,36;3,47
198703;4,47;1,15;1,83;1,64;0;0,47;1,9;0,39
198704;-4,52;-1,32;-4,93;-0,23;0;0,44;-2,14;-1,67
198705;-2,25;0,43;1,79;0,2;0;0,38;0,13;-0,55
198706;5,85;3,56;5,64;1,13;0;0,48;3,89;-2,1
198707;5,12;5,79;3,14;0,72;0;0,46;3,96;-0,65
198708;1,68;5,77;2,37;-0,95;0;0,47;3,24;-0,78
198709;-2,22;-1,43;-3,11;0,3;0;0,45;-2,53;0,57
198710;-29,81;-25,89;-18,8;4,23;0;0,6;-23,14;-8,37
198711;-5,21;-11,29;-8,03;3,17;0;0,35;-7,58;2,6
198712;7,99;8,17;7,37;-4,42;0;0,39;6,64;0,19
198801;3,58;-1,05;2,73;5,16;1;0,29;4,2;-0,69
198802;11,11;3,92;4,23;-1,66;0;0,46;4,71;3,33
198803;0,55;-5,9;-0,71;0,77;0;0,44;-2,1;6,17
198804;1,88;0,6;-0,31;1,73;0;0,46;0,64;0,96
198805;-1,66;1,27;-0,63;2,29;0;0,51;-0,47;-2,65
198806;8,5;6,27;1,71;-1,22;0;0,49;4,66;2,06
198807;-3,24;-0,3;0,59;2,3;0;0,51;-1,24;-0,17
198808;-4,12;-5,1;0,33;2,06;0;0,59;-3,39;0,09
198809;-0,18;3,54;5,86;-0,74;0;0,62;3,1;-1,29
198810;-0,51;1,85;11,9;1,65;0;0,61;1,15;-2,93
198811;-3,66;-5,64;-1,13;1,27;0;0,57;-2,21;-1,76
198812;3,16;2,19;1,83;-1,56;0;0,63;1,48;1,93
198901;5,63;5,74;4,53;0,55;1;0,55;6,06;-2,16
198902;0;-0,04;-2,24;0,87;0;0,61;-2,25;2,75
198903;0,76;0,02;4,48;0,46;0;0,67;1,48;0,71
198904;5,2;5,47;5,09;-1,38;0;0,67;4,15;-0,55
198905;2,46;0,31;5,24;-0,83;0;0,79;3,14;-0,02
198906;-1,59;0,81;0,15;2,17;0;0,71;-1,2;-1
198907;8,42;6,22;12,9;-2,75;0;0,7;7,01;-4
198908;2,07;-0,17;-4,83;0,65;0;0,74;1,47;0,5
198909;-2,35;-3,22;-0,82;-1,31;0;0,65;-0,8;0,36
198910;-8,18;-6,13;-2,15;-0,96;0;0,68;-3,61;-3,22
198911;2,09;-0,63;2,9;-1,1;0;0,69;1,09;-1,24
198912;-0,65;-0,7;2,17;0,31;0;0,61;1,22;-2,35
199001;-6,06;-7,75;-10,2;0,92;1;0,57;-7,58;-1,28
199002;2,92;-0,03;-0,86;0,64;0;0,57;0,92;1,13
199003;4,37;3,57;4,91;-2,85;0;0,64;1,77;1,49
199004;-3,07;-6,56;-0,14;-2,49;0;0,69;-3,52;-0,45
199005;10,29;5,82;10,91;-3,63;0;0,68;8,21;-2,5
199006;-3,18;-1,21;1,19;-2,12;0;0,63;-1,05;1,41
199007;-0,28;-5,44;-0,36;-0,05;0;0,68;-1,62;-3,16
199008;-12,66;-8,72;-7,28;1,5;0;0,66;-9,85;-3,53
199009;-9,58;-8,35;-3,7;0,67;0;0,6;-5,98;-3,63
199010;-6,96;-5,47;3,59;0,27;0;0,68;-1,93;-5,52
199011;9,49;9,74;4,61;-2,97;0;0,57;6;0,31
199012;4,38;1,65;3,36;-1,5;0;0,6;2,35;0,77
199101;7,8;7,96;3,06;-1,73;1;0,52;4,39;3,85
199102;11,23;7,47;10,96;-0,59;0;0,48;7,1;3,89
199103;-0,15;4,04;5,39;-1,19;0;0,44;2,45;3,92
199104;-0,07;-1,85;-2,17;1,43;0;0,53;-0,2;0,52
199105;8,18;5,04;2,8;-0,56;0;0,47;3,6;-0,33
199106;-5,14;-6,22;-5;1,23;0;0,42;-4,82;0,07
199107;4,75;3,11;6,1;-1,29;0;0,49;4,19;-0,98
199108;3,18;4,62;5,44;-0,79;0;0,46;2,22;1,58
199109;-3,34;0,5;-4,37;-1,04;0;0,46;-1,56;1,66
199110;-3,12;3,86;-0,57;-0,38;0;0,42;1,36;0,85
199111;-2,88;-2,14;0,36;-1,77;0;0,39;-4,12;-0,53
199112;15,27;9,97;14,81;-3,97;0;0,38;10,3;-2,3
199201;2,46;4,59;-5,06;4,62;1;0,34;-0,46;8,42
199202;1,39;-0,07;-0,23;6,35;0;0,28;1,06;0,85
199203;-2,09;-4,02;-1,82;3,7;0;0,34;-2,71;-1,08
199204;-0,38;-0,06;-0,53;4,31;0;0,32;1,02;-6,08
199205;3,07;-0,47;1,47;1,18;0;0,28;0,36;0,43
199206;-5,32;-4,78;-2,21;3,28;0;0,32;-2,25;-3,06
